Interactuo,QuienTieneLentes,Rol,Horadeldia,Diadelasemana,Asignatura,RamosAsociados,Sexo,Evaluacionalcurso,Evaluaciondelcursoalalumno,Arte,Ciencias,Fisica,Historia,Lenguaje,Matematica,Tecnologica,Notaspond,Promedio,VistasAlProf,VistasDelProf,VistasAlAlmno,VistasDelAlmno,NivelAcademico,filter_$,,,,,,,,
0,9,0,1,3,0,0,1,"4,0",0,6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00",
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
1,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,9,0,1,3,0,0,1,"4,0","5,90",6,6,7,5,5,6,5,6,6,",54","12,3","6,03","1,69",",00",",00"
0,16,0,1,3,0,0,1,"3,8","4,70",6,4,7,4,4,4,4,5,5,"6,48","6,44","5,69","5,11","1,00",",00"
0,16,0,1,3,0,0,1,"3,8","4,70",6,4,7,4,4,4,4,5,5,"6,48","6,44","5,69","5,11","1,00",",00"
0,16,0,1,3,0,0,1,"3,8","4,70",6,4,7,4,4,4,4,5,5,"6,48","6,44","5,69","5,11","1,00",",00"
0,16,0,1,3,0,0,1,"3,8","4,70",6,4,7,4,4,4,4,5,5,"6,48","6,44","5,69","5,11","1,00",",00"
0,16,0,1,3,0,0,1,"3,8","4,70",6,4,7,4,4,4,4,5,5,"6,48","6,44","5,69","5,11","1,00",",00"
0,16,0,1,3,0,0,1,"3,8","4,70",6,4,7,4,4,4,4,5,5,"6,48","6,44","5,69","5,11","1,00",",00"
0,16,0,1,3,0,0,1,"3,8","4,70",6,4,7,4,4,4,4,5,5,"6,48","6,44","5,69","5,11","1,00",",00"
0,16,0,1,3,0,0,1,"3,8","4,70",6,4,7,4,4,4,4,5,5,"6,48","6,44","5,69","5,11","1,00",",00"
